Genero,Idade,NivelDeEnsino,RegiaoOndeMora,CorEtnia,CientistaDados,EngenheiroDados,AnalistaDados,profissao
Masculino,35,Pós-graduação,Sudeste,Branca,0,1,0,Engenheiro de Dados
Masculino,39,Graduação/Bacharelado,Sudeste,Branca,1,1,1,Cientista de Dados
Masculino,36,Pós-graduação,Centro-oeste,Branca,1,1,1,Cientista de Dados
Feminino,35,Mestrado,Sudeste,Branca,1,1,1,Cientista de Dados
Masculino,31,Pós-graduação,Sudeste,Branca,1,1,1,Cientista de Dados
Feminino,44,Doutorado ou Phd,Sudeste,Branca,0,0,1,Analista de Dados
Feminino,36,Pós-graduação,Sudeste,Parda,0,0,1,Analista de Dados
Masculino,36,Pós-graduação,Sudeste,Parda,1,1,0,Cientista de Dados
Feminino,23,Estudante de Graduação,Sudeste,Branca,1,0,1,Cientista de Dados
Masculino,27,Graduação/Bacharelado,Sudeste,Branca,1,1,1,Cientista de Dados
Masculino,30,Mestrado,Sul,Branca,1,1,1,Cientista de Dados
Feminino,29,Pós-graduação,Sudeste,Branca,0,1,1,Engenheiro de Dados
Masculino,27,Pós-graduação,Sudeste,Branca,0,1,0,Engenheiro de Dados
Masculino,49,Graduação/Bacharelado,Sudeste,Branca,1,1,1,Cientista de Dados
Masculino,30,Mestrado,Sudeste,Branca,0,1,1,Engenheiro de Dados
Feminino,29,Mestrado,Sul,Branca,0,1,1,Engenheiro de Dados
Masculino,33,Pós-graduação,Sudeste,Branca,0,1,1,Engenheiro de Dados
Masculino,50,Pós-graduação,Sudeste,Branca,1,1,1,Cientista de Dados
Masculino,28,Não tenho graduação formal,Sudeste,Branca,1,1,1,Cientista de Dados
Masculino,29,Mestrado,Sudeste,Preta,1,0,0,Cientista de Dados
Feminino,27,Pós-graduação,Sul,Parda,1,1,1,Cientista de Dados
Masculino,42,Graduação/Bacharelado,Sudeste,Parda,1,1,1,Cientista de Dados
Masculino,41,Pós-graduação,Sudeste,Branca,0,1,1,Engenheiro de Dados
Masculino,45,Mestrado,,Preta,1,1,1,Cientista de Dados
Feminino,31,Pós-graduação,Sudeste,Branca,1,1,1,Cientista de Dados
Masculino,36,Mestrado,Sudeste,Branca,1,1,0,Cientista de Dados
Masculino,40,Mestrado,Sudeste,Branca,1,1,0,Cientista de Dados
Masculino,36,Pós-graduação,Sul,Branca,1,1,1,Cientista de Dados
Masculino,45,Pós-graduação,Centro-oeste,Amarela,0,0,1,Analista de Dados
Feminino,48,Graduação/Bacharelado,Sudeste,Branca,0,0,1,Analista de Dados
Masculino,48,Graduação/Bacharelado,Sudeste,Parda,0,1,1,Engenheiro de Dados
Masculino,55,Doutorado ou Phd,Sudeste,Amarela,1,1,1,Cientista de Dados
Masculino,28,Pós-graduação,Sul,Branca,0,1,1,Engenheiro de Dados
Masculino,32,Pós-graduação,Sudeste,Outra,1,1,1,Cientista de Dados
Masculino,31,Pós-graduação,Sudeste,Branca,1,1,1,Cientista de Dados
Feminino,31,Pós-graduação,Sudeste,Parda,0,1,1,Engenheiro de Dados
Masculino,29,Estudante de Graduação,Sudeste,Branca,1,1,1,Cientista de Dados
Masculino,32,Doutorado ou Phd,Sudeste,Parda,1,1,0,Cientista de Dados
Masculino,27,Graduação/Bacharelado,Sudeste,Branca,1,1,0,Cientista de Dados
Masculino,29,Graduação/Bacharelado,Sudeste,Branca,1,1,0,Cientista de Dados
Masculino,37,Pós-graduação,Sudeste,Branca,1,1,0,Cientista de Dados
Masculino,31,Graduação/Bacharelado,Sudeste,Branca,1,1,1,Cientista de Dados
Masculino,37,Pós-graduação,Sudeste,Branca,1,1,0,Cientista de Dados
Masculino,34,Mestrado,Sudeste,Branca,1,1,1,Cientista de Dados
Masculino,39,Mestrado,Sudeste,Amarela,1,1,1,Cientista de Dados
Masculino,31,Pós-graduação,Sul,Parda,0,1,0,Engenheiro de Dados
Masculino,33,Pós-graduação,Sudeste,Branca,1,1,1,Cientista de Dados
Masculino,39,Pós-graduação,Nordeste,Parda,1,1,1,Cientista de Dados
Masculino,47,Pós-graduação,Centro-oeste,Branca,0,1,0,Engenheiro de Dados
Masculino,48,Pós-graduação,Nordeste,Preta,1,0,1,Cientista de Dados
Feminino,30,Pós-graduação,Sudeste,Parda,1,1,0,Cientista de Dados
Masculino,42,Pós-graduação,Sudeste,Branca,1,0,1,Cientista de Dados
Feminino,30,Graduação/Bacharelado,Sudeste,Branca,1,1,1,Cientista de Dados
Masculino,28,Mestrado,Sudeste,Branca,1,1,0,Cientista de Dados
Masculino,35,Mestrado,Nordeste,Branca,0,0,1,Analista de Dados
Masculino,38,Pós-graduação,Sudeste,Amarela,0,1,1,Engenheiro de Dados
Masculino,29,Mestrado,Centro-oeste,Branca,1,1,1,Cientista de Dados
Feminino,47,Pós-graduação,Nordeste,Parda,0,1,0,Engenheiro de Dados
Masculino,27,Graduação/Bacharelado,Sudeste,Branca,1,1,1,Cientista de Dados
Feminino,40,Pós-graduação,Sul,Branca,0,0,1,Analista de Dados
Masculino,32,Pós-graduação,Sudeste,Branca,1,1,1,Cientista de Dados
Masculino,30,Pós-graduação,Centro-oeste,Parda,1,1,1,Cientista de Dados
Masculino,36,Pós-graduação,Sudeste,Parda,0,1,0,Engenheiro de Dados
Masculino,32,Mestrado,Sudeste,Branca,1,0,1,Cientista de Dados
