profissao,CorEtnia,idade_media,total
Analista de Dados,Amarela,36.7,7
Analista de Dados,Branca,35.9,85
Analista de Dados,Outra,29.0,1
Analista de Dados,Parda,37.1,18
Analista de Dados,Preta,36.4,9
Cientista de Dados,Amarela,41.2,16
Cientista de Dados,Branca,35.9,387
Cientista de Dados,Outra,35.0,3
Cientista de Dados,Parda,35.8,94
Cientista de Dados,Prefiro não informar,35.0,1
Cientista de Dados,Preta,35.3,35
Engenheiro de Dados,Amarela,34.8,4
Engenheiro de Dados,Branca,35.1,73
Engenheiro de Dados,Indígena,32.0,1
Engenheiro de Dados,Outra,38.0,1
Engenheiro de Dados,Parda,34.6,30
Engenheiro de Dados,Prefiro não informar,43.0,1
Engenheiro de Dados,Preta,32.1,7
